epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,574.794,0.62556,5.33714,0.76687,1.01468,0.95712,0.39411,0.42728,0.29106,0,0,0,0,1.86184,5.16287,2.51044,1.56102,1.25927e-05,1.25927e-05,1.25927e-05
91,579.364,0.56761,5.421,0.80894,1.01267,0.95712,0.39411,0.42728,0.29106,0,0,0,0,1.86184,5.16287,2.51044,1.56102,1.16739e-05,1.16739e-05,1.16739e-05
92,584.37,0.83744,7.05431,1.25386,1.04765,0.96251,0.38353,0.42499,0.29535,0.54992,0.01667,0.00639,0.00064,1.86135,5.16375,2.55113,1.56156,1.07315e-05,1.07315e-05,1.07315e-05
93,589.083,0.49518,5.2403,0.70256,1.05409,0.96251,0.38353,0.42499,0.29535,0.54992,0.01667,0.00639,0.00064,1.86135,5.16375,2.55113,1.56156,9.76562e-06,9.76562e-06,9.76562e-06
94,593.415,0.64221,5.57902,0.59115,0.96803,0.96251,0.38353,0.42499,0.29535,0.54992,0.01667,0.00639,0.00064,1.86135,5.16375,2.55113,1.56156,8.77613e-06,8.77613e-06,8.77613e-06
95,598.564,0.50473,5.2702,0.66178,1.00716,0.96251,0.38353,0.42499,0.29535,0.54992,0.01667,0.00639,0.00064,1.86135,5.16375,2.55113,1.56156,7.76308e-06,7.76308e-06,7.76308e-06
96,603.096,0.534,5.31101,0.86548,1.04519,0.95838,0.38223,0.4224,0.31097,0.55102,0.01667,0.0063,0.00126,1.86812,5.17207,2.61846,1.59365,6.72648e-06,6.72648e-06,6.72648e-06
97,607.264,0.73284,5.68458,1.0048,1.09532,0.95838,0.38223,0.4224,0.31097,0.55102,0.01667,0.0063,0.00126,1.86812,5.17207,2.61846,1.59365,5.6663e-06,5.6663e-06,5.6663e-06
98,611.796,0.55297,5.72018,0.75607,0.95772,0.95838,0.38223,0.4224,0.31097,0.55102,0.01667,0.0063,0.00126,1.86812,5.17207,2.61846,1.59365,4.58257e-06,4.58257e-06,4.58257e-06
99,616.743,0.56893,5.38727,0.71694,1.02459,0.95838,0.38223,0.4224,0.31097,0.55102,0.01667,0.0063,0.00126,1.86812,5.17207,2.61846,1.59365,3.47528e-06,3.47528e-06,3.47528e-06
100,621.085,0.55427,5.12696,0.68699,1.0333,0.95415,0.37911,0.42142,0.31786,0.55104,0.01667,0.00618,0.00124,1.88597,5.18885,2.71206,1.61417,2.34442e-06,2.34442e-06,2.34442e-06
